,code_point,char,utf8,name,multiascii,ascii
396,U+018C,ƌ,c68c,LATIN SMALL LETTER D WITH TOPBAR,,
397,U+018D,ƍ,c68d,LATIN SMALL LETTER TURNED DELTA,,
398,U+018E,Ǝ,c68e,LATIN CAPITAL LETTER REVERSED E,,
399,U+018F,Ə,c68f,LATIN CAPITAL LETTER SCHWA,,
400,U+0190,Ɛ,c690,LATIN CAPITAL LETTER OPEN E,,
401,U+0191,Ƒ,c691,LATIN CAPITAL LETTER F WITH HOOK,,
402,U+0192,ƒ,c692,LATIN SMALL LETTER F WITH HOOK,,
403,U+0193,Ɠ,c693,LATIN CAPITAL LETTER G WITH HOOK,,
404,U+0194,Ɣ,c694,LATIN CAPITAL LETTER GAMMA,,
405,U+0195,ƕ,c695,LATIN SMALL LETTER HV,,
406,U+0196,Ɩ,c696,LATIN CAPITAL LETTER IOTA,,
407,U+0197,Ɨ,c697,LATIN CAPITAL LETTER I WITH STROKE,,
408,U+0198,Ƙ,c698,LATIN CAPITAL LETTER K WITH HOOK,,
409,U+0199,ƙ,c699,LATIN SMALL LETTER K WITH HOOK,,
410,U+019A,ƚ,c69a,LATIN SMALL LETTER L WITH BAR,,
411,U+019B,ƛ,c69b,LATIN SMALL LETTER LAMBDA WITH STROKE,,
412,U+019C,Ɯ,c69c,LATIN CAPITAL LETTER TURNED M,,
413,U+019D,Ɲ,c69d,LATIN CAPITAL LETTER N WITH LEFT HOOK,,
414,U+019E,ƞ,c69e,LATIN SMALL LETTER N WITH LONG RIGHT LEG,,
415,U+019F,Ɵ,c69f,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,,
416,U+01A0,Ơ,c6a0,LATIN CAPITAL LETTER O WITH HORN,,
417,U+01A1,ơ,c6a1,LATIN SMALL LETTER O WITH HORN,,
418,U+01A2,Ƣ,c6a2,LATIN CAPITAL LETTER OI,,
419,U+01A3,ƣ,c6a3,LATIN SMALL LETTER OI,,
420,U+01A4,Ƥ,c6a4,LATIN CAPITAL LETTER P WITH HOOK,,
421,U+01A5,ƥ,c6a5,LATIN SMALL LETTER P WITH HOOK,,
422,U+01A6,Ʀ,c6a6,LATIN LETTER YR,,
423,U+01A7,Ƨ,c6a7,LATIN CAPITAL LETTER TONE TWO,,
424,U+01A8,ƨ,c6a8,LATIN SMALL LETTER TONE TWO,,
425,U+01A9,Ʃ,c6a9,LATIN CAPITAL LETTER ESH,,
426,U+01AA,ƪ,c6aa,LATIN LETTER REVERSED ESH LOOP,,
427,U+01AB,ƫ,c6ab,LATIN SMALL LETTER T WITH PALATAL HOOK,,
428,U+01AC,Ƭ,c6ac,LATIN CAPITAL LETTER T WITH HOOK,,
429,U+01AD,ƭ,c6ad,LATIN SMALL LETTER T WITH HOOK,,
430,U+01AE,Ʈ,c6ae,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK,,
431,U+01AF,Ư,c6af,LATIN CAPITAL LETTER U WITH HORN,,
432,U+01B0,ư,c6b0,LATIN SMALL LETTER U WITH HORN,,
433,U+01B1,Ʊ,c6b1,LATIN CAPITAL LETTER UPSILON,,
434,U+01B2,Ʋ,c6b2,LATIN CAPITAL LETTER V WITH HOOK,,
435,U+01B3,Ƴ,c6b3,LATIN CAPITAL LETTER Y WITH HOOK,,
436,U+01B4,ƴ,c6b4,LATIN SMALL LETTER Y WITH HOOK,,
437,U+01B5,Ƶ,c6b5,LATIN CAPITAL LETTER Z WITH STROKE,,
438,U+01B6,ƶ,c6b6,LATIN SMALL LETTER Z WITH STROKE,,
439,U+01B7,Ʒ,c6b7,LATIN CAPITAL LETTER EZH,,
440,U+01B8,Ƹ,c6b8,LATIN CAPITAL LETTER EZH REVERSED,,
441,U+01B9,ƹ,c6b9,LATIN SMALL LETTER EZH REVERSED,,
442,U+01BA,ƺ,c6ba,LATIN SMALL LETTER EZH WITH TAIL,,
443,U+01BB,ƻ,c6bb,LATIN LETTER TWO WITH STROKE,,
444,U+01BC,Ƽ,c6bc,LATIN CAPITAL LETTER TONE FIVE,,
445,U+01BD,ƽ,c6bd,LATIN SMALL LETTER TONE FIVE,,
446,U+01BE,ƾ,c6be,LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE,,
447,U+01BF,ƿ,c6bf,LATIN LETTER WYNN,,
448,U+01C0,ǀ,c780,LATIN LETTER DENTAL CLICK,,
449,U+01C1,ǁ,c781,LATIN LETTER LATERAL CLICK,,
450,U+01C2,ǂ,c782,LATIN LETTER ALVEOLAR CLICK,,
451,U+01C3,ǃ,c783,LATIN LETTER RETROFLEX CLICK,,
452,U+01C4,Ǆ,c784,LATIN CAPITAL LETTER DZ WITH CARON,,
453,U+01C5,ǅ,c785,LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON,,
454,U+01C6,ǆ,c786,LATIN SMALL LETTER DZ WITH CARON,,
455,U+01C7,Ǉ,c787,LATIN CAPITAL LETTER LJ,,
456,U+01C8,ǈ,c788,LATIN CAPITAL LETTER L WITH SMALL LETTER J,,
457,U+01C9,ǉ,c789,LATIN SMALL LETTER LJ,,
458,U+01CA,Ǌ,c78a,LATIN CAPITAL LETTER NJ,,
459,U+01CB,ǋ,c78b,LATIN CAPITAL LETTER N WITH SMALL LETTER J,,
460,U+01CC,ǌ,c78c,LATIN SMALL LETTER NJ,,
461,U+01CD,Ǎ,c78d,LATIN CAPITAL LETTER A WITH CARON,,
462,U+01CE,ǎ,c78e,LATIN SMALL LETTER A WITH CARON,,
463,U+01CF,Ǐ,c78f,LATIN CAPITAL LETTER I WITH CARON,,
464,U+01D0,ǐ,c790,LATIN SMALL LETTER I WITH CARON,,
465,U+01D1,Ǒ,c791,LATIN CAPITAL LETTER O WITH CARON,,
466,U+01D2,ǒ,c792,LATIN SMALL LETTER O WITH CARON,,
467,U+01D3,Ǔ,c793,LATIN CAPITAL LETTER U WITH CARON,,
468,U+01D4,ǔ,c794,LATIN SMALL LETTER U WITH CARON,,
469,U+01D5,Ǖ,c795,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON,,
470,U+01D6,ǖ,c796,LATIN SMALL LETTER U WITH DIAERESIS AND MACRON,,
471,U+01D7,Ǘ,c797,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE,,
472,U+01D8,ǘ,c798,LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE,,
473,U+01D9,Ǚ,c799,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON,,
474,U+01DA,ǚ,c79a,LATIN SMALL LETTER U WITH DIAERESIS AND CARON,,
475,U+01DB,Ǜ,c79b,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE,,
476,U+01DC,ǜ,c79c,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE,,
477,U+01DD,ǝ,c79d,LATIN SMALL LETTER TURNED E,,
478,U+01DE,Ǟ,c79e,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON,,
479,U+01DF,ǟ,c79f,LATIN SMALL LETTER A WITH DIAERESIS AND MACRON,,
480,U+01E0,Ǡ,c7a0,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON,,
481,U+01E1,ǡ,c7a1,LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON,,
482,U+01E2,Ǣ,c7a2,LATIN CAPITAL LETTER AE WITH MACRON,,
483,U+01E3,ǣ,c7a3,LATIN SMALL LETTER AE WITH MACRON,,
484,U+01E4,Ǥ,c7a4,LATIN CAPITAL LETTER G WITH STROKE,,
485,U+01E5,ǥ,c7a5,LATIN SMALL LETTER G WITH STROKE,,
486,U+01E6,Ǧ,c7a6,LATIN CAPITAL LETTER G WITH CARON,,
487,U+01E7,ǧ,c7a7,LATIN SMALL LETTER G WITH CARON,,
488,U+01E8,Ǩ,c7a8,LATIN CAPITAL LETTER K WITH CARON,,
489,U+01E9,ǩ,c7a9,LATIN SMALL LETTER K WITH CARON,,
490,U+01EA,Ǫ,c7aa,LATIN CAPITAL LETTER O WITH OGONEK,,
491,U+01EB,ǫ,c7ab,LATIN SMALL LETTER O WITH OGONEK,,
492,U+01EC,Ǭ,c7ac,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,,
493,U+01ED,ǭ,c7ad,LATIN SMALL LETTER O WITH OGONEK AND MACRON,,
494,U+01EE,Ǯ,c7ae,LATIN CAPITAL LETTER EZH WITH CARON,,
495,U+01EF,ǯ,c7af,LATIN SMALL LETTER EZH WITH CARON,,
496,U+01F0,ǰ,c7b0,LATIN SMALL LETTER J WITH CARON,,
497,U+01F1,Ǳ,c7b1,LATIN CAPITAL LETTER DZ,,
498,U+01F2,ǲ,c7b2,LATIN CAPITAL LETTER D WITH SMALL LETTER Z,,
499,U+01F3,ǳ,c7b3,LATIN SMALL LETTER DZ,,
500,U+01F4,Ǵ,c7b4,LATIN CAPITAL LETTER G WITH ACUTE,,
501,U+01F5,ǵ,c7b5,LATIN SMALL LETTER G WITH ACUTE,,
502,U+01F6,Ƕ,c7b6,LATIN CAPITAL LETTER HWAIR,,
503,U+01F7,Ƿ,c7b7,LATIN CAPITAL LETTER WYNN,,
504,U+01F8,Ǹ,c7b8,LATIN CAPITAL LETTER N WITH GRAVE,,
505,U+01F9,ǹ,c7b9,LATIN SMALL LETTER N WITH GRAVE,,
506,U+01FA,Ǻ,c7ba,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,,
507,U+01FB,ǻ,c7bb,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,,
508,U+01FC,Ǽ,c7bc,LATIN CAPITAL LETTER AE WITH ACUTE,,
509,U+01FD,ǽ,c7bd,LATIN SMALL LETTER AE WITH ACUTE,,
510,U+01FE,Ǿ,c7be,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,,
511,U+01FF,ǿ,c7bf,LATIN SMALL LETTER O WITH STROKE AND ACUTE,,
512,U+0200,Ȁ,c880,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,,
513,U+0201,ȁ,c881,LATIN SMALL LETTER A WITH DOUBLE GRAVE,,
514,U+0202,Ȃ,c882,LATIN CAPITAL LETTER A WITH INVERTED BREVE,,
515,U+0203,ȃ,c883,LATIN SMALL LETTER A WITH INVERTED BREVE,,
516,U+0204,Ȅ,c884,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,,
517,U+0205,ȅ,c885,LATIN SMALL LETTER E WITH DOUBLE GRAVE,,
518,U+0206,Ȇ,c886,LATIN CAPITAL LETTER E WITH INVERTED BREVE,,
519,U+0207,ȇ,c887,LATIN SMALL LETTER E WITH INVERTED BREVE,,
520,U+0208,Ȉ,c888,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,,
521,U+0209,ȉ,c889,LATIN SMALL LETTER I WITH DOUBLE GRAVE,,
522,U+020A,Ȋ,c88a,LATIN CAPITAL LETTER I WITH INVERTED BREVE,,
523,U+020B,ȋ,c88b,LATIN SMALL LETTER I WITH INVERTED BREVE,,
524,U+020C,Ȍ,c88c,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,,
525,U+020D,ȍ,c88d,LATIN SMALL LETTER O WITH DOUBLE GRAVE,,
526,U+020E,Ȏ,c88e,LATIN CAPITAL LETTER O WITH INVERTED BREVE,,
527,U+020F,ȏ,c88f,LATIN SMALL LETTER O WITH INVERTED BREVE,,
528,U+0210,Ȑ,c890,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,,
529,U+0211,ȑ,c891,LATIN SMALL LETTER R WITH DOUBLE GRAVE,,
530,U+0212,Ȓ,c892,LATIN CAPITAL LETTER R WITH INVERTED BREVE,,
531,U+0213,ȓ,c893,LATIN SMALL LETTER R WITH INVERTED BREVE,,
532,U+0214,Ȕ,c894,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,,
533,U+0215,ȕ,c895,LATIN SMALL LETTER U WITH DOUBLE GRAVE,,
534,U+0216,Ȗ,c896,LATIN CAPITAL LETTER U WITH INVERTED BREVE,,
535,U+0217,ȗ,c897,LATIN SMALL LETTER U WITH INVERTED BREVE,,
536,U+0218,Ș,c898,LATIN CAPITAL LETTER S WITH COMMA BELOW,,
537,U+0219,ș,c899,LATIN SMALL LETTER S WITH COMMA BELOW,,
538,U+021A,Ț,c89a,LATIN CAPITAL LETTER T WITH COMMA BELOW,,
539,U+021B,ț,c89b,LATIN SMALL LETTER T WITH COMMA BELOW,,
540,U+021C,Ȝ,c89c,LATIN CAPITAL LETTER YOGH,,
541,U+021D,ȝ,c89d,LATIN SMALL LETTER YOGH,,
542,U+021E,Ȟ,c89e,LATIN CAPITAL LETTER H WITH CARON,,
543,U+021F,ȟ,c89f,LATIN SMALL LETTER H WITH CARON,,
544,U+0220,Ƞ,c8a0,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,,
545,U+0221,ȡ,c8a1,LATIN SMALL LETTER D WITH CURL,,
546,U+0222,Ȣ,c8a2,LATIN CAPITAL LETTER OU,,
547,U+0223,ȣ,c8a3,LATIN SMALL LETTER OU,,
548,U+0224,Ȥ,c8a4,LATIN CAPITAL LETTER Z WITH HOOK,,
549,U+0225,ȥ,c8a5,LATIN SMALL LETTER Z WITH HOOK,,
550,U+0226,Ȧ,c8a6,LATIN CAPITAL LETTER A WITH DOT ABOVE,,
551,U+0227,ȧ,c8a7,LATIN SMALL LETTER A WITH DOT ABOVE,,
552,U+0228,Ȩ,c8a8,LATIN CAPITAL LETTER E WITH CEDILLA,,
553,U+0229,ȩ,c8a9,LATIN SMALL LETTER E WITH CEDILLA,,
554,U+022A,Ȫ,c8aa,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,,
555,U+022B,ȫ,c8ab,LATIN SMALL LETTER O WITH DIAERESIS AND MACRON,,
556,U+022C,Ȭ,c8ac,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,,
557,U+022D,ȭ,c8ad,LATIN SMALL LETTER O WITH TILDE AND MACRON,,
558,U+022E,Ȯ,c8ae,LATIN CAPITAL LETTER O WITH DOT ABOVE,,
559,U+022F,ȯ,c8af,LATIN SMALL LETTER O WITH DOT ABOVE,,
560,U+0230,Ȱ,c8b0,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,,
561,U+0231,ȱ,c8b1,LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON,,
562,U+0232,Ȳ,c8b2,LATIN CAPITAL LETTER Y WITH MACRON,,
563,U+0233,ȳ,c8b3,LATIN SMALL LETTER Y WITH MACRON,,
564,U+0234,ȴ,c8b4,LATIN SMALL LETTER L WITH CURL,,
565,U+0235,ȵ,c8b5,LATIN SMALL LETTER N WITH CURL,,
566,U+0236,ȶ,c8b6,LATIN SMALL LETTER T WITH CURL,,
567,U+0237,ȷ,c8b7,LATIN SMALL LETTER DOTLESS J,,
568,U+0238,ȸ,c8b8,LATIN SMALL LETTER DB DIGRAPH,,
569,U+0239,ȹ,c8b9,LATIN SMALL LETTER QP DIGRAPH,,
570,U+023A,Ⱥ,c8ba,LATIN CAPITAL LETTER A WITH STROKE,,
571,U+023B,Ȼ,c8bb,LATIN CAPITAL LETTER C WITH STROKE,,
572,U+023C,ȼ,c8bc,LATIN SMALL LETTER C WITH STROKE,,
573,U+023D,Ƚ,c8bd,LATIN CAPITAL LETTER L WITH BAR,,
574,U+023E,Ⱦ,c8be,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,,
575,U+023F,ȿ,c8bf,LATIN SMALL LETTER S WITH SWASH TAIL,,
576,U+0240,ɀ,c980,LATIN SMALL LETTER Z WITH SWASH TAIL,,
577,U+0241,Ɂ,c981,LATIN CAPITAL LETTER GLOTTAL STOP,,
578,U+0242,ɂ,c982,LATIN SMALL LETTER GLOTTAL STOP,,
579,U+0243,Ƀ,c983,LATIN CAPITAL LETTER B WITH STROKE,,
580,U+0244,Ʉ,c984,LATIN CAPITAL LETTER U BAR,,
581,U+0245,Ʌ,c985,LATIN CAPITAL LETTER TURNED V,,
582,U+0246,Ɇ,c986,LATIN CAPITAL LETTER E WITH STROKE,,
583,U+0247,ɇ,c987,LATIN SMALL LETTER E WITH STROKE,,
584,U+0248,Ɉ,c988,LATIN CAPITAL LETTER J WITH STROKE,,
585,U+0249,ɉ,c989,LATIN SMALL LETTER J WITH STROKE,,
586,U+024A,Ɋ,c98a,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL,,
587,U+024B,ɋ,c98b,LATIN SMALL LETTER Q WITH HOOK TAIL,,
588,U+024C,Ɍ,c98c,LATIN CAPITAL LETTER R WITH STROKE,,
589,U+024D,ɍ,c98d,LATIN SMALL LETTER R WITH STROKE,,
590,U+024E,Ɏ,c98e,LATIN CAPITAL LETTER Y WITH STROKE,,
591,U+024F,ɏ,c98f,LATIN SMALL LETTER Y WITH STROKE,,
592,U+0250,ɐ,c990,LATIN SMALL LETTER TURNED A,,
593,U+0251,ɑ,c991,LATIN SMALL LETTER ALPHA,,
594,U+0252,ɒ,c992,LATIN SMALL LETTER TURNED ALPHA,,
595,U+0253,ɓ,c993,LATIN SMALL LETTER B WITH HOOK,,
596,U+0254,ɔ,c994,LATIN SMALL LETTER OPEN O,,
597,U+0255,ɕ,c995,LATIN SMALL LETTER C WITH CURL,,
598,U+0256,ɖ,c996,LATIN SMALL LETTER D WITH TAIL,,
599,U+0257,ɗ,c997,LATIN SMALL LETTER D WITH HOOK,,
600,U+0258,ɘ,c998,LATIN SMALL LETTER REVERSED E,,
601,U+0259,ə,c999,LATIN SMALL LETTER SCHWA,,
602,U+025A,ɚ,c99a,LATIN SMALL LETTER SCHWA WITH HOOK,,
603,U+025B,ɛ,c99b,LATIN SMALL LETTER OPEN E,,
604,U+025C,ɜ,c99c,LATIN SMALL LETTER REVERSED OPEN E,,
605,U+025D,ɝ,c99d,LATIN SMALL LETTER REVERSED OPEN E WITH HOOK,,
606,U+025E,ɞ,c99e,LATIN SMALL LETTER CLOSED REVERSED OPEN E,,
607,U+025F,ɟ,c99f,LATIN SMALL LETTER DOTLESS J WITH STROKE,,
608,U+0260,ɠ,c9a0,LATIN SMALL LETTER G WITH HOOK,,
609,U+0261,ɡ,c9a1,LATIN SMALL LETTER SCRIPT G,,
610,U+0262,ɢ,c9a2,LATIN LETTER SMALL CAPITAL G,,
611,U+0263,ɣ,c9a3,LATIN SMALL LETTER GAMMA,,
612,U+0264,ɤ,c9a4,LATIN SMALL LETTER RAMS HORN,,
613,U+0265,ɥ,c9a5,LATIN SMALL LETTER TURNED H,,
614,U+0266,ɦ,c9a6,LATIN SMALL LETTER H WITH HOOK,,
615,U+0267,ɧ,c9a7,LATIN SMALL LETTER HENG WITH HOOK,,
616,U+0268,ɨ,c9a8,LATIN SMALL LETTER I WITH STROKE,,
617,U+0269,ɩ,c9a9,LATIN SMALL LETTER IOTA,,
618,U+026A,ɪ,c9aa,LATIN LETTER SMALL CAPITAL I,,
619,U+026B,ɫ,c9ab,LATIN SMALL LETTER L WITH MIDDLE TILDE,,
620,U+026C,ɬ,c9ac,LATIN SMALL LETTER L WITH BELT,,
621,U+026D,ɭ,c9ad,LATIN SMALL LETTER L WITH RETROFLEX HOOK,,
622,U+026E,ɮ,c9ae,LATIN SMALL LETTER LEZH,,
623,U+026F,ɯ,c9af,LATIN SMALL LETTER TURNED M,,
624,U+0270,ɰ,c9b0,LATIN SMALL LETTER TURNED M WITH LONG LEG,,
625,U+0271,ɱ,c9b1,LATIN SMALL LETTER M WITH HOOK,,
626,U+0272,ɲ,c9b2,LATIN SMALL LETTER N WITH LEFT HOOK,,
627,U+0273,ɳ,c9b3,LATIN SMALL LETTER N WITH RETROFLEX HOOK,,
628,U+0274,ɴ,c9b4,LATIN LETTER SMALL CAPITAL N,,
629,U+0275,ɵ,c9b5,LATIN SMALL LETTER BARRED O,,
630,U+0276,ɶ,c9b6,LATIN LETTER SMALL CAPITAL OE,,
631,U+0277,ɷ,c9b7,LATIN SMALL LETTER CLOSED OMEGA,,
632,U+0278,ɸ,c9b8,LATIN SMALL LETTER PHI,,
633,U+0279,ɹ,c9b9,LATIN SMALL LETTER TURNED R,,
634,U+027A,ɺ,c9ba,LATIN SMALL LETTER TURNED R WITH LONG LEG,,
635,U+027B,ɻ,c9bb,LATIN SMALL LETTER TURNED R WITH HOOK,,
636,U+027C,ɼ,c9bc,LATIN SMALL LETTER R WITH LONG LEG,,
637,U+027D,ɽ,c9bd,LATIN SMALL LETTER R WITH TAIL,,
638,U+027E,ɾ,c9be,LATIN SMALL LETTER R WITH FISHHOOK,,
639,U+027F,ɿ,c9bf,LATIN SMALL LETTER REVERSED R WITH FISHHOOK,,
640,U+0280,ʀ,ca80,LATIN LETTER SMALL CAPITAL R,,
641,U+0281,ʁ,ca81,LATIN LETTER SMALL CAPITAL INVERTED R,,
642,U+0282,ʂ,ca82,LATIN SMALL LETTER S WITH HOOK,,
643,U+0283,ʃ,ca83,LATIN SMALL LETTER ESH,,
644,U+0284,ʄ,ca84,LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK,,
645,U+0285,ʅ,ca85,LATIN SMALL LETTER SQUAT REVERSED ESH,,
646,U+0286,ʆ,ca86,LATIN SMALL LETTER ESH WITH CURL,,
647,U+0287,ʇ,ca87,LATIN SMALL LETTER TURNED T,,
648,U+0288,ʈ,ca88,LATIN SMALL LETTER T WITH RETROFLEX HOOK,,
649,U+0289,ʉ,ca89,LATIN SMALL LETTER U BAR,,
650,U+028A,ʊ,ca8a,LATIN SMALL LETTER UPSILON,,
651,U+028B,ʋ,ca8b,LATIN SMALL LETTER V WITH HOOK,,
652,U+028C,ʌ,ca8c,LATIN SMALL LETTER TURNED V,,
653,U+028D,ʍ,ca8d,LATIN SMALL LETTER TURNED W,,
654,U+028E,ʎ,ca8e,LATIN SMALL LETTER TURNED Y,,
655,U+028F,ʏ,ca8f,LATIN LETTER SMALL CAPITAL Y,,
656,U+0290,ʐ,ca90,LATIN SMALL LETTER Z WITH RETROFLEX HOOK,,
657,U+0291,ʑ,ca91,LATIN SMALL LETTER Z WITH CURL,,
658,U+0292,ʒ,ca92,LATIN SMALL LETTER EZH,,
659,U+0293,ʓ,ca93,LATIN SMALL LETTER EZH WITH CURL,,
660,U+0294,ʔ,ca94,LATIN LETTER GLOTTAL STOP,,
661,U+0295,ʕ,ca95,LATIN LETTER PHARYNGEAL VOICED FRICATIVE,,
662,U+0296,ʖ,ca96,LATIN LETTER INVERTED GLOTTAL STOP,,
663,U+0297,ʗ,ca97,LATIN LETTER STRETCHED C,,
664,U+0298,ʘ,ca98,LATIN LETTER BILABIAL CLICK,,
665,U+0299,ʙ,ca99,LATIN LETTER SMALL CAPITAL B,,
666,U+029A,ʚ,ca9a,LATIN SMALL LETTER CLOSED OPEN E,,
667,U+029B,ʛ,ca9b,LATIN LETTER SMALL CAPITAL G WITH HOOK,,
668,U+029C,ʜ,ca9c,LATIN LETTER SMALL CAPITAL H,,
669,U+029D,ʝ,ca9d,LATIN SMALL LETTER J WITH CROSSED-TAIL,,
670,U+029E,ʞ,ca9e,LATIN SMALL LETTER TURNED K,,
671,U+029F,ʟ,ca9f,LATIN LETTER SMALL CAPITAL L,,
672,U+02A0,ʠ,caa0,LATIN SMALL LETTER Q WITH HOOK,,
673,U+02A1,ʡ,caa1,LATIN LETTER GLOTTAL STOP WITH STROKE,,
674,U+02A2,ʢ,caa2,LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE,,
675,U+02A3,ʣ,caa3,LATIN SMALL LETTER DZ DIGRAPH,,
676,U+02A4,ʤ,caa4,LATIN SMALL LETTER DEZH DIGRAPH,,
677,U+02A5,ʥ,caa5,LATIN SMALL LETTER DZ DIGRAPH WITH CURL,,
678,U+02A6,ʦ,caa6,LATIN SMALL LETTER TS DIGRAPH,,
679,U+02A7,ʧ,caa7,LATIN SMALL LETTER TESH DIGRAPH,,
680,U+02A8,ʨ,caa8,LATIN SMALL LETTER TC DIGRAPH WITH CURL,,
681,U+02A9,ʩ,caa9,LATIN SMALL LETTER FENG DIGRAPH,,
682,U+02AA,ʪ,caaa,LATIN SMALL LETTER LS DIGRAPH,,
683,U+02AB,ʫ,caab,LATIN SMALL LETTER LZ DIGRAPH,,
684,U+02AC,ʬ,caac,LATIN LETTER BILABIAL PERCUSSIVE,,
685,U+02AD,ʭ,caad,LATIN LETTER BIDENTAL PERCUSSIVE,,
686,U+02AE,ʮ,caae,LATIN SMALL LETTER TURNED H WITH FISHHOOK,,
687,U+02AF,ʯ,caaf,LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL,,
688,U+02B0,ʰ,cab0,MODIFIER LETTER SMALL H,,
689,U+02B1,ʱ,cab1,MODIFIER LETTER SMALL H WITH HOOK,,
690,U+02B2,ʲ,cab2,MODIFIER LETTER SMALL J,,
691,U+02B3,ʳ,cab3,MODIFIER LETTER SMALL R,,
692,U+02B4,ʴ,cab4,MODIFIER LETTER SMALL TURNED R,,
693,U+02B5,ʵ,cab5,MODIFIER LETTER SMALL TURNED R WITH HOOK,,
694,U+02B6,ʶ,cab6,MODIFIER LETTER SMALL CAPITAL INVERTED R,,
695,U+02B7,ʷ,cab7,MODIFIER LETTER SMALL W,,
696,U+02B8,ʸ,cab8,MODIFIER LETTER SMALL Y,,
697,U+02B9,ʹ,cab9,MODIFIER LETTER PRIME,,
698,U+02BA,ʺ,caba,MODIFIER LETTER DOUBLE PRIME,,
699,U+02BB,ʻ,cabb,MODIFIER LETTER TURNED COMMA,,
700,U+02BC,ʼ,cabc,MODIFIER LETTER APOSTROPHE,,
701,U+02BD,ʽ,cabd,MODIFIER LETTER REVERSED COMMA,,
702,U+02BE,ʾ,cabe,MODIFIER LETTER RIGHT HALF RING,,
703,U+02BF,ʿ,cabf,MODIFIER LETTER LEFT HALF RING,,
704,U+02C0,ˀ,cb80,MODIFIER LETTER GLOTTAL STOP,,
705,U+02C1,ˁ,cb81,MODIFIER LETTER REVERSED GLOTTAL STOP,,
706,U+02C2,˂,cb82,MODIFIER LETTER LEFT ARROWHEAD,,
707,U+02C3,˃,cb83,MODIFIER LETTER RIGHT ARROWHEAD,,
708,U+02C4,˄,cb84,MODIFIER LETTER UP ARROWHEAD,,
709,U+02C5,˅,cb85,MODIFIER LETTER DOWN ARROWHEAD,,
710,U+02C6,ˆ,cb86,MODIFIER LETTER CIRCUMFLEX ACCENT,,
711,U+02C7,ˇ,cb87,CARON,,
712,U+02C8,ˈ,cb88,MODIFIER LETTER VERTICAL LINE,,
713,U+02C9,ˉ,cb89,MODIFIER LETTER MACRON,,
714,U+02CA,ˊ,cb8a,MODIFIER LETTER ACUTE ACCENT,,
715,U+02CB,ˋ,cb8b,MODIFIER LETTER GRAVE ACCENT,,
716,U+02CC,ˌ,cb8c,MODIFIER LETTER LOW VERTICAL LINE,,
717,U+02CD,ˍ,cb8d,MODIFIER LETTER LOW MACRON,,
718,U+02CE,ˎ,cb8e,MODIFIER LETTER LOW GRAVE ACCENT,,
719,U+02CF,ˏ,cb8f,MODIFIER LETTER LOW ACUTE ACCENT,,
720,U+02D0,ː,cb90,MODIFIER LETTER TRIANGULAR COLON,,
721,U+02D1,ˑ,cb91,MODIFIER LETTER HALF TRIANGULAR COLON,,
722,U+02D2,˒,cb92,MODIFIER LETTER CENTRED RIGHT HALF RING,,
723,U+02D3,˓,cb93,MODIFIER LETTER CENTRED LEFT HALF RING,,
724,U+02D4,˔,cb94,MODIFIER LETTER UP TACK,,
725,U+02D5,˕,cb95,MODIFIER LETTER DOWN TACK,,
726,U+02D6,˖,cb96,MODIFIER LETTER PLUS SIGN,,
727,U+02D7,˗,cb97,MODIFIER LETTER MINUS SIGN,,
728,U+02D8,˘,cb98,BREVE,,
729,U+02D9,˙,cb99,DOT ABOVE,,
730,U+02DA,˚,cb9a,RING ABOVE,,
731,U+02DB,˛,cb9b,OGONEK,,
