,Fiscal year,President's party,Senate majority party,House majority party,Top-bracket marginal income tax rate,National debt millions,National debt millions of 1983 dollars,"Deficit
(millions of 1983 dollars)",Surplus string in 1983 dollars,Deficit string in 1983 dollars ($ = $10B),Net surplus in 1983 dollars ($B)
57,7/1960-6/1961,DR,D,D,91.0%,"$288,970","$969,701","$2,367",,,0.0
58,7/1959-6/1960,R,D,D,91.0%,"$286,330","$967,334","-$11,037",$,,10.0
59,7/1958-6/1959,R,D,D,91.0%,"$284,705","$978,371","$22,166",,$$,-20.0
60,7/1957-6/1958,R,D,D,91.0%,"$276,343","$956,205","-$6,525",$,,10.0
61,7/1956-6/1957,R,D,D,91.0%,"$270,527","$962,730","-$40,030",$$$$,,40.0
62,7/1955-6/1956,R,D,D,91.0%,"$272,751","$1,002,760","-$24,858",$$,,20.0
63,7/1954-6/1955,R,DR,DR,91.0%,"$274,374","$1,027,619","$19,219",,$$,-20.0
64,7/1953-6/1954,R,R,R,92.0%,"$271,259","$1,008,400","$15,598",,$$,-20.0
65,7/1952-6/1953,DR,DR,DR,92.0%,"$266,071","$992,802","$15,047",,$$,-20.0
66,7/1951-6/1952,D,D,D,91.0%,"$259,105","$9,777,553","-$7,658",$,,10.0
67,7/1950-6/1951,D,D,D,91.0%,"$255,221","$985,413","-$95,920",$$$$$$$$$$,,100.0
68,7/1949-6/1950,D,D,D,91.0%,"$257,357","$1,081,333","$23,717",,$$,-20.0
69,7/1948-6/1949,D,DR,DR,91.0%,"$252,770","$1,057,617","$10,761",,$,-10.0
70,7/1947-6/1948,D,R,R,91.0%,"$252,292","$1,046,856","-$127,173",$$$$$$$$$$$$,,120.0
71,7/1946-6/1947,D,DR,DR,91.0%,"$258,286","$1,174,029","-$266,731",$$$$$$$$$$$$$$$$$$$$$$$$$$$,,270.0
72,7/1945-6/1946,D,D,D,94.0%,"$269,422","$1,440,760","$11,577",,$,-10.0
73,7/1944-6/1945,D,D,D,94.0%,"$258,682","$1,429,183","$287,119",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-290.0
74,7/1943-6/1944,D,D,D,88.0%,"$201,003","$1,142,065","$360,944",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-360.0
75,7/1942-6/1943,D,D,D,88.0%,"$136,696","$781,121","$336,811",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-340.0
76,7/1941-6/1942,D,D,D,81.0%,"$72,422","$444,309","$111,238",,$$$$$$$$$$$,-110.0
77,7/1940-6/1941,D,D,D,79.0%,"$48,961","$333,071","$28,337",,$$$,-30.0
78,7/1939-6/1940,D,D,D,79.0%,"$42,967","$304,734","$11,694",,$,-10.0
79,7/1938-6/1939,D,D,D,79.0%,"$40,439","$293,040","$29,460",,$$$,-30.0
80,7/1937-6/1938,D,D,D,79.0%,"$37,164","$263,579","$10,631",,$,-10.0
81,7/1936-6/1937,D,D,D,79.0%,"$36,424","$252,949","$8,177",,$,-10.0
82,7/1935-6/1936,D,D,D,63.0%,"$33,779","$244,772","$35,276",,$$$$,-40.0
83,7/1934-6/1935,D,D,D,63.0%,"$28,700","$209,496","$7,606",,$,-10.0
84,7/1933-6/1934,D,D,D,63.0%,"$27,053","$201,889","$24,419",,$$,-20.0
85,7/1932-6/1933,DR,DR,D,63.0%,"$22,539","$177,470","$34,183",,$$$,-30.0
86,7/1931-6/1932,R,R,D,25.0%,"$19,487","$143,287","$32,020",,$$$,-30.0
87,7/1930-6/1931,R,R,DR,25.0%,"$16,801","$111,267","$14,926",,$,-10.0
88,7/1929-6/1930,R,R,R,25.0%,"$16,185","$96,341","-$2,671",,,0.0
89,7/1928-6/1929,R,R,R,25.0%,"$16,931","$99,012","-$3,937",,,0.0
90,7/1927-6/1928,R,R,R,25.0%,"$17,604","$102,949","-$2,232",,,0.0
91,7/1926-6/1927,R,R,R,25.0%,"$18,511","$105,181","-$5,797",$,,10.0
92,7/1925-6/1926,R,R,R,25.0%,"$19,643","$110,979","-$6,257",$,,10.0
93,7/1924-6/1925,R,R,R,46.0%,"$20,516","$117,235","-$7,769",$,,10.0
94,7/1923-6/1924,R,R,R,58.0%,"$21,251","$125,005","-$6,464",$,,10.0
95,7/1922-6/1923,R,R,R,58.0%,"$22,349","$131,469","-$6,036",$,,10.0
96,7/1921-6/1922,R,R,R,73.0%,"$22,963","$137,505","$1,270",,,0.0
97,7/1920-6/1921,DR,R,R,73.0%,"$23,977","$136,236","$12,061",,$,-10.0
98,7/1919-6/1920,D,R,R,73.0%,"$25,952","$124,174","-$37,902",$$$$,,40.0
99,7/1918-6/1919,D,DR,DR,77.0%,"$27,391","$162,077","$62,810",,$$$$$$,-60.0
100,7/1917-6/1918,D,D,D,67.0%,"$14,592","$99,266","$55,284",,$$$$$$,-60.0
101,7/1916-6/1917,D,D,D,15.0%,"$5,718","$43,983","$10,564",,$,-10.0
102,7/1915-6/1916,D,D,D,7.0%,"$3,609","$33,418","$3,140",,,0.0
103,7/1914-6/1915,D,D,D,7.0%,"$3,058","$30,279",$859,,,0.0
104,7/1913-6/1914,D,D,D,7.0%,"$2,912","$29,419",-$338,,,0.0
105,7/1912-6/1913,DR,D,D,,"$2,916","$29,757",$488,,,
106,7/1911-6/1912,R,D,D,,"$2,868","$29,269",,,,
107,7/1910-6/1911,R,D,D,,"$2,765",,,,,
